mysql> select department_name,d.location_id,city, street_address, state_province,country_name from locations l join departments d join countries c on l.location_id=d.location_id and l.country_id=c.country_id;
+----------------------+-------------+---------------------+------------------------------------------+----------------+--------------------------+
| department_name      | location_id | city                | street_address                           | state_province | country_name             |
+----------------------+-------------+---------------------+------------------------------------------+----------------+--------------------------+
| IT                   |        1400 | Southlake           | 2014 Jabberwocky Rd                      | Texas          | United States of America |
| Shipping             |        1500 | South San Francisco | 2011 Interiors Blvd                      | California     | United States of America |
| Administration       |        1700 | Seattle             | 2004 Charade Rd                          | Washington     | United States of America |
| Purchasing           |        1700 | Seattle             | 2004 Charade Rd                          | Washington     | United States of America |
| Executive            |        1700 | Seattle             | 2004 Charade Rd                          | Washington     | United States of America |
| Finance              |        1700 | Seattle             | 2004 Charade Rd                          | Washington     | United States of America |
| Accounting           |        1700 | Seattle             | 2004 Charade Rd                          | Washington     | United States of America |
| Treasury             |        1700 | Seattle             | 2004 Charade Rd                          | Washington     | United States of America |
| Corporate Tax        |        1700 | Seattle             | 2004 Charade Rd                          | Washington     | United States of America |
| Control And Credit   |        1700 | Seattle             | 2004 Charade Rd                          | Washington     | United States of America |
| Shareholder Services |        1700 | Seattle             | 2004 Charade Rd                          | Washington     | United States of America |
| Benefits             |        1700 | Seattle             | 2004 Charade Rd                          | Washington     | United States of America |
| Manufacturing        |        1700 | Seattle             | 2004 Charade Rd                          | Washington     | United States of America |
| Construction         |        1700 | Seattle             | 2004 Charade Rd                          | Washington     | United States of America |
| Contracting          |        1700 | Seattle             | 2004 Charade Rd                          | Washington     | United States of America |
| Operations           |        1700 | Seattle             | 2004 Charade Rd                          | Washington     | United States of America |
| IT Support           |        1700 | Seattle             | 2004 Charade Rd                          | Washington     | United States of America |
| NOC                  |        1700 | Seattle             | 2004 Charade Rd                          | Washington     | United States of America |
| IT Helpdesk          |        1700 | Seattle             | 2004 Charade Rd                          | Washington     | United States of America |
| Government Sales     |        1700 | Seattle             | 2004 Charade Rd                          | Washington     | United States of America |
| Retail Sales         |        1700 | Seattle             | 2004 Charade Rd                          | Washington     | United States of America |
| Recruiting           |        1700 | Seattle             | 2004 Charade Rd                          | Washington     | United States of America |
| Payroll              |        1700 | Seattle             | 2004 Charade Rd                          | Washington     | United States of America |
| Marketing            |        1800 | Toronto             | 147 Spadina Ave                          | Ontario        | Canada                   |
| Human Resources      |        2400 | London              | 8204 Arthur St                           | NULL           | United Kingdom           |
| Sales                |        2500 | Oxford              | Magdalen Centre, The Oxford Science Park | Oxford         | United Kingdom           |
| Public Relations     |        2700 | Munich              | Schwanthalerstr. 7031                    | Bavaria        | Germany                  |
+----------------------+-------------+---------------------+------------------------------------------+----------------+--------------------------+


select  last_name,departments.department_id, department_name from employees join departments on  employees.department_id= departments.department_id;


2)
mysql> select  last_name,departments.department_id, department_name from employees join departments on  employees.department_id= departments.department_id;
+-------------+---------------+------------------+
| last_name   | department_id | department_name  |
+-------------+---------------+------------------+
| Whalen      |            10 | Administration   |
| Hartstein   |            20 | Marketing        |
| Fay         |            20 | Marketing        |
| Raphaely    |            30 | Purchasing       |
| Khoo        |            30 | Purchasing       |
| Baida       |            30 | Purchasing       |
| Tobias      |            30 | Purchasing       |
| Himuro      |            30 | Purchasing       |
| Colmenares  |            30 | Purchasing       |
| Mavris      |            40 | Human Resources  |
| Weiss       |            50 | Shipping         |
| Fripp       |            50 | Shipping         |
| Kaufling    |            50 | Shipping         |
| Vollman     |            50 | Shipping         |
| Mourgos     |            50 | Shipping         |
| Nayer       |            50 | Shipping         |
| Mikkilineni |            50 | Shipping         |
| Landry      |            50 | Shipping         |
| Markle      |            50 | Shipping         |
| Bissot      |            50 | Shipping         |
| Atkinson    |            50 | Shipping         |
| Marlow      |            50 | Shipping         |
| Olson       |            50 | Shipping         |
| Mallin      |            50 | Shipping         |
| Rogers      |            50 | Shipping         |
| Gee         |            50 | Shipping         |
| Philtanker  |            50 | Shipping         |
| Ladwig      |            50 | Shipping         |
| Stiles      |            50 | Shipping         |
| Seo         |            50 | Shipping         |
| Patel       |            50 | Shipping         |
| Rajs        |            50 | Shipping         |
| Davies      |            50 | Shipping         |
| Matos       |            50 | Shipping         |
| Vargas      |            50 | Shipping         |
| Taylor      |            50 | Shipping         |
| Fleaur      |            50 | Shipping         |
| Sullivan    |            50 | Shipping         |
| Geoni       |            50 | Shipping         |
| Sarchand    |            50 | Shipping         |
| Bull        |            50 | Shipping         |
| Dellinger   |            50 | Shipping         |
| Cabrio      |            50 | Shipping         |
| Chung       |            50 | Shipping         |
| Dilly       |            50 | Shipping         |
| Gates       |            50 | Shipping         |
| Perkins     |            50 | Shipping         |
| Bell        |            50 | Shipping         |
| Everett     |            50 | Shipping         |
| McCain      |            50 | Shipping         |
| Jones       |            50 | Shipping         |
| Walsh       |            50 | Shipping         |
| Feeney      |            50 | Shipping         |
| OConnell    |            50 | Shipping         |
| Grant       |            50 | Shipping         |
| Hunold      |            60 | IT               |
| Ernst       |            60 | IT               |
| Austin      |            60 | IT               |
| Pataballa   |            60 | IT               |
| Lorentz     |            60 | IT               |
| Baer        |            70 | Public Relations |
| Russell     |            80 | Sales            |
| Partners    |            80 | Sales            |
| Errazuriz   |            80 | Sales            |
| Cambrault   |            80 | Sales            |
| Zlotkey     |            80 | Sales            |
| Tucker      |            80 | Sales            |
| Bernstein   |            80 | Sales            |
| Hall        |            80 | Sales            |
| Olsen       |            80 | Sales            |
| Cambrault   |            80 | Sales            |
| Tuvault     |            80 | Sales            |
| Sully       |            80 | Sales            |
| McEwen      |            80 | Sales            |
| Smith       |            80 | Sales            |
| Doran       |            80 | Sales            |
| Sewall      |            80 | Sales            |
| Vishney     |            80 | Sales            |
| Greene      |            80 | Sales            |
| Marvins     |            80 | Sales            |
| Lee         |            80 | Sales            |
| Ande        |            80 | Sales            |
| Banda       |            80 | Sales            |
